Company_Name,Short_Description,RE_Strategy_Codes,RE_Strategy_Names,City,Region,Country,openai_answer
Elixion Medical,"Reduce care shortage with medical IoT devices, SaaS & AI",R2,Reduce,Düsseldorf,Nordrhein-Westfalen,Germany,"RR2: ""Reduce"""
Doozer,Doozer is an online platform to contract craftsmen and companies to repair and renovate real estate.,R4,Repair,Berlin,Berlin,Germany,"RR4: ""Repair"""
Sizekick,Sizekick uses AI and computer vision technology to reduce returns in fashion e-commerce.,R2,Reduce,Munich,Bayern,Germany,"RR2: ""Reduce"""
Rebolet,"Rebolet empowers e-commerce shops to streamline returns, enhance recommerce, and reduce carbon emissions with AI and data analytics.",R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Vemcon,Vemcon is a rethinks machine control.,R1,Rethink,Garching Bei München,Bayern,Germany,"RR1: ""Rethink"""
basebox AI_,All-in-one AI integration platform for automating healthcare administration to reduce the costs of service delivery. (SaaS),R2,Reduce,Utting Am Ammersee,Bayern,Germany,"RR2: ""Reduce"""
Oceansix,Oceansix is a Germany based company focused on developing technologies and product solutions from recovered materials.,R9,Recover,Berlin,Berlin,Germany,"RR9: ""Recover"""
Carelane,Carelane uses digital health technology to reduce inefficiencies in clinical trials.,R2,Reduce,Bremen,Bremen,Germany,"RR2: ""Reduce"""
MAGMENT,MAGMENT develops an innovative concrete material created from cement and recycled magnetic particles that enhances the transfer of energy.,R8,Recycle,Unterhaching,Bayern,Germany,"RR8: ""Recycle"""
Space Products and Innovation,SPIN is a space company specializing in satellite hardware development that reduces cost and satellite manufacturing.,R2,Reduce,Darmstadt,Hessen,Germany,"RR2: ""Reduce"""
Zeedz,Zeedz is the first game that allows players to reduce global carbon emissions by collecting plant-inspired creatures.,R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
CYKERO,German company with a French touch! Cykero is selling in wholesale used and refurbished devices in B2B & B2C across Europe.,R5,Refurbish,Berlin,Berlin,Germany,"RR5: ""Refurbish"""
Xara,"Produce marketing and sales content in minutes. Create, collaborate, and reduce design tasks for more productivity and brand consistency.",R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Accurec,"Accurec is a battery recycling company that recycles Nickel-Cadmium (NiCd) , Nickel-Metall hydride (NiMH) and Lithium (Li) batteries.",R8,Recycle,Krefeld,Nordrhein-Westfalen,Germany,"RR8: ""Recycle"""
IMO,"IMO manufactures customized slew drives, slewing rings and slewing bearings which are ready-to-install and assemble with repairing services.",R4,Repair,Gremsdorf,Bayern,Germany,"RR4: ""Repair"""
memodio,Memodio is a prevent dementia through app that helps maintain brain health and reduce their individual risk of dementia.,R2,Reduce,Potsdam,Brandenburg,Germany,"RR2: ""Reduce"""
pado,pado is a mobility software app that provides information about parking spaces to reduce vehicle emissions in the automotive industry.,R2,Reduce,Worms,Rheinland-Pfalz,Germany,"RR2: ""Reduce"""
receeve GmbH,"A fully customisable all-in-one platform for collections & recovery. Fast to deploy, simple to manage & easy to customise & expand.",R9,Recover,Hamburg,Hamburg,Germany,"Disagree. The company 'receeve GmbH' does not align with the circular economy strategy 'Recover' as their business focuses on collections and recovery in the financial services sector, not on extracting useful materials or energy from waste products."
IonKraft,"IonKraft can provide better performance at a lower cost while maintaining recyclability, they also promote material reduction and reuse.",R3,Reuse,Aachen,Nordrhein-Westfalen,Germany,"RR3: ""Reuse"""
Rebel Tech,Rebel Tech creates high-tech electronics repair solutions and provides repairs at prices that no one else can match.,R4,Repair,Berlin,Berlin,Germany,"RR4: ""Repair"""
Fasciotens,"Fasciotens helps with the open abdomen - increase the odds, reduce the risks.",R2,Reduce,Cologne,Nordrhein-Westfalen,Germany,"Disagree. Fasciotens' core service of helping with the open abdomen does not directly align with the circular economy strategy of ""Reduce"" which focuses on minimizing resources and waste in the production process."
JPM,JPM specializes in the construction and repair of tank and container with fixed and floating roof tanks.,R4,Repair,Henstedt-ulzburg,Schleswig-Holstein,Germany,"RR4: ""Repair"""
Aurubis,Aurubis is the leading integrated copper group and the world’s largest copper recycler,R8,Recycle,Hamburg,Hamburg,Germany,"RR8: ""Recycle"""
Komsa,"Komsa is a service providing and distributing firm that offers repair solutions, wholesale for IT, and communication products.",R4,Repair,Hartmannsdorf,Thuringen,Germany,"RR4: ""Repair"""
Cougle’s Recycling,Cougle’s Recycling is an environmentally conscious post-consumer and post-industrial recycler.,R8,Recycle,Hamburg,Hamburg,Germany,"RR8: ""Recycle"""
Contorion,"Contorion.de is a B2B online marketplace for maintenance, repair and operations (MRO) products",R4,Repair,Berlin,Berlin,Germany,"RR4: ""Repair"""
ZaaK Technologies,ZaaK Technologies recycles industrial wastes into high value products.,R8,Recycle,Zwickau,Sachsen,Germany,"RR8: ""Recycle"""
Climate Partner,"Calculate, reduce and offset your company & product carbon emissions",R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Dolfi1920,Dolfi1920 deals with the baggage damaged during flights and does warranty/private repairs.,R4,Repair,Kelsterbach,Hessen,Germany,"RR4: ""Repair"""
Lufthansa Technik,"Lufthansa Technik is a maintenance, repair and overhaul (MRO) services for aircraft, engines and components.",R4,Repair,Hamburg,Hamburg,Germany,"RR4: ""Repair"""
thingk.systems,rethinking things connected,R1,Rethink,Berlin,Berlin,Germany,"RR1: ""Rethink"""
DK Kälteanlagen,"DK Kälteanlagen designs and manufactures heat recovery equipment used by supermarkets, canteens, and bakeries.",R9,Recover,Emsdetten,Nordrhein-Westfalen,Germany,"RR9: ""Recover"""
Rethink Ventures,Rethink Ventures is a specialist venture capital firm exclusively focused on investing in a sustainable future of transportation.,R1,Rethink,Munich,Bayern,Germany,"RR1: ""Rethink"""
FixFirst,"B2B SaaS, Circular Economy, Sustainability, AI, Repair, Maintenance, Refurbishment,","R4, R5","Repair, Refurbish",Berlin,Berlin,Germany,"RR4: ""Repair"", RR5: ""Refurbish"""
daisygrip,"daisygrip significantly reduces time and personnel costs, costs and risks of infection: Decide on the new, safe and clean connection.",R2,Reduce,Rostock,Mecklenburg-Vorpommern,Germany,"RR2: ""Reduce"""
Priva,"Priva develops hardware, software and services in the field of climate control, energy saving and optimal reuse of water.",R3,Reuse,Tönisvorst,Nordrhein-Westfalen,Germany,"RR3: ""Reuse"""
PAUL Tech,"PAUL Tech operates in real estate, using AI and digital tech to reduce energy use, CO2 emissions, and costs.",R2,Reduce,Mannheim,Baden-Wurttemberg,Germany,"RR2: ""Reduce"""
Strätz NoveTec,"Strätz NoveTec is a medical technology service company that repairs, tests, and maintains medical devices.",R4,Repair,Estenfeld,Bayern,Germany,"RR4: ""Repair"""
Auto-Teile-Unger,Auto-Teile-Unger is a German company which owns and operates a chain of car and truck repair franchises.,R4,Repair,Weiden,Bayern,Germany,"RR4: ""Repair"""
We Do Solar,We Do Solar is a smart balcony solar system that saves up to 25% on electricity bills and reduces CO2.,R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Turbit,Turbit reduces risks of wind turbine operation with AI monitoring at scale.,R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
MORMOR,MORMOR stands for well-designed furniture that helps people with reduced mobility.,R2,Reduce,Leipzig,Sachsen,Germany,"RR2: ""Reduce"""
Revive,"Revive provides a more sustainable way of buying, refurbishing, and selling things by recycling and repairing products.","R4, R5","Repair, Refurbish",Köln,Nordrhein-Westfalen,Germany,"RR4: ""Repair"", RR5: ""Refurbish"""
Tekfor,Tekfor is an automotive company offering precision machine parts and weight-reduced components.,R2,Reduce,Hausach,Baden-Wurttemberg,Germany,"RR2: ""Reduce"""
HIS ENERGY,"HIS Energy offers battery energy storage systems and solutions to maximize profits, reduce grid dependency, and create new revenue streams.",R2,Reduce,Oberzeitldorn,Bayern,Germany,"RR2: ""Reduce"""
Compressed air Stölzel,Compressed air Stölzel is an air compressor service company that provides repair and sales service.,R4,Repair,Nuremberg,Bayern,Germany,"RR4: ""Repair"""
Elara,On a mission to reduce unplanned machine downtime to zero.,R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Lumoview Building Analytics,Lumoview digitizes buildings in 2 seconds per room and empowers owners to improve their buildings and reduce CO2 emissions.,R2,Reduce,Cologne,Nordrhein-Westfalen,Germany,"RR2: ""Reduce"""
Paxray,"Paxray is a task mining platform that helps reduce process documentation effort, and automatically discover workflows for RPA automation.",R2,Reduce,Mutlangen,Baden-Wurttemberg,Germany,"RR2: ""Reduce"""
Resycure,Smart B2B marketplace transforming recycled plastics trading with an aggregator model & intelligent product qualification,R8,Recycle,Munich,Bayern,Germany,"RR8: ""Recycle"""
Aequita,"Aequita is a Munich-based family office investing in special situations including corporate carve-outs, successions, and recovery situations",R9,Recover,Munich,Bayern,Germany,"Disagree. Aequita's focus on investing in special situations like corporate carve-outs and successions does not align directly with the circular economy strategy of ""Recover"", which involves extracting useful materials or energy from waste products."
Goldhofer AG,"Goldhofer is a German manufacturer of conventional and towbarless aircraft tow tractors, aircraft recovery equipment and cargo tractors.",R9,Recover,Memmingen,Bayern,Germany,"Disagree. Goldhofer AG, as a manufacturer of aircraft tow tractors and recovery equipment, does not align directly with the circular economy strategy of ""Recover,"" which focuses on extracting useful materials or energy from waste products. Goldhofer AG's primary focus is on manufacturing equipment rather than recovering materials or energy from waste products."
RYSTA,RYSTA facilitates sustainable protection of Real Estate assets through a IoT monitoring solution to reduce costs and increase efficiency.,R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
circulee,"Circulee is a green IT hardware solutions company that reduces costs, CO₂ emissions, and electronic waste.",R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
WPD,WPD specializes in the field of wind energy that focuses on the development and operation of wind farms with maintenance and repair.,R4,Repair,Bremen,Bremen,Germany,"RR4: ""Repair"""
MetrikFlow,MetrikFlow is a platform for climate management to reduce environmental impact and comply with sustainability regulations.,R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
StriveCast,Strive Technologies provides Peer-To-Peer video streaming software to reduce video streaming cost and increase quality of experience.,R2,Reduce,Düsseldorf,Nordrhein-Westfalen,Germany,"RR2: ""Reduce"""
MAAG Group,"MAAG Group offers products and services such as gear pumps, pulverizers, recycling systems, dryers, inspection, and repair services.",R4,Repair,Großostheim,Bayern,Germany,"RR4: ""Repair"""
toern,"SaaS, peer-to-peer return software to reduce transportation routes, packaging waste and costs.",R2,Reduce,Hamburg,Hamburg,Germany,"RR2: ""Reduce"""
Tildi,"Tildi is a re-commerce marketplace where third-party ReSellers sell quality, sustainable secondhand and refurbished children's products.",R5,Refurbish,Munich,Bayern,Germany,"RR5: ""Refurbish""."
kaputt.de,Kaputt.de is an online marketplace with repair options for electrical appliances.,R4,Repair,Berlin,Berlin,Germany,"RR4: ""Repair"""
Carbonze,"CarbonZE is a climate tech company, empowering businesses to analyse, reduce Carbon, and design GHG and ESG strategy.",R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Kaffeeform,"Kaffeeform is an e-shop that sells a wide selection of coffee cups, weducer cups, recycled coffee grounds and accessories.",R8,Recycle,Berlin,Berlin,Germany,"RR8: ""Recycle"""
Recovery Cat,Recovery Cat develops software as a medical device that facilitates effective psychiatric care for individuals with severe mental illness.,R9,Recover,Berlin,Berlin,Germany,"Disagree. Recovery Cat's focus on developing software for psychiatric care does not align with the circular economy strategy of ""Recover,"" which is primarily about extracting useful materials or energy from waste products."
Baros Solutions,"Baros Solutions is a business consulting firm that helps to analyze costs, identify unauthorized deductions, and recover lost revenue.",R9,Recover,Taufkirchen,Bayern,Germany,"Disagree. Baros Solutions, as a business consulting firm focusing on analyzing costs and identifying unauthorized deductions, does not directly align with the circular economy strategy of 'Recover', which involves extracting useful materials or energy from waste products."
EOS Deutscher Inkasso-Dienst,EOS Deutscher Inkasso-Dienst is a collection agency that offers easy debt recovery services through an online platform.,R9,Recover,Hamburg,Hamburg,Germany,"Disagree. EOS Deutscher Inkasso-Dienst is a debt collection agency focused on recovering financial debts, not on extracting useful materials or energy from waste products."
The Oater,"A compact machine for local production of fresh oat milk that improves taste, lowers costs and reduces packaging and CO2 emissions.",R2,Reduce,Aachen,Nordrhein-Westfalen,Germany,"RR2: ""Reduce"""
GreenPow,"1st Carbon-Aware cloud platform offering secure, private, and managed Cloud services, heling businesses reduce emissions by up to 85% in co2",R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Prym,"Prym supplies fasteners, woven ribbons, storage, repair items, clothing accessories, pins and needles for needlework, apparel & home decor.",R4,Repair,Sosberg,Rheinland-Pfalz,Germany,"RR4: ""Repair"""
Recogizer,Recogizer is a GreenTech company that reduces the energy consumption of commercial facilities by using AI solution energy control.,R2,Reduce,Bonn,Nordrhein-Westfalen,Germany,"RR2: ""Reduce"""
MLB Manufacturing Services,"MLB provides industrial services such as maintenance, inspection, repair, and process improvement.",R4,Repair,Bobingen,Bayern,Germany,"RR4: ""Repair"""
Ideematec,Ideematec is a manufacturer of PV mounting and tracking systems that offer superior safety and higher yield at maximum reduced shading.,R2,Reduce,Wallerfing,Bayern,Germany,"RR2: ""Reduce"""
Bilstein group,Bilstein group offer repair solutions for all common vehicle types in the car and commercial vehicle sector.,R4,Repair,Ennepetal,Nordrhein-Westfalen,Germany,"RR4: ""Repair"""
Meidrix Biomedicals,Meidrix Biomedicals is a medical biotechnology company that specializes in medical devices for cartilage repair.,R4,Repair,Eßlingen,Bayern,Germany,"RR4: ""Repair"""
Reparando,Reparando is currently leading supraregional service providers for high-quality B2B smartphone repairs.,R4,Repair,Stuttgart,Baden-Wurttemberg,Germany,"RR4: ""Repair"""
IAWY,>AI tutor that educational institutions can integrate into their learning environments to increase retention and reduce guidance costs.,R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Mey Capital Matrix,The MEY Capital Matrix GmbH is a company which helps to reduce healthcare cost and provides personalized medicines.,R2,Reduce,München,Bayern,Germany,"RR2: ""Reduce"""
TopMotive,"TopMotive specializes in the development of software solutions for wholesalers, repair shops, manufacturers, and industrial automation.",R4,Repair,Bargteheide,Schleswig-Holstein,Germany,"RR4: ""Repair"""
RegHub,RegHub is data-driven platform to reduce cost & complexity in regulatory change management and compliance through automation & collaboration,R2,Reduce,Frankfurt,Hessen,Germany,"RR2: ""Reduce"""
Safira.ai,"Elevating digital storytelling to provide a superior shopping experience, reduce returns, and secure brand identity!",R2,Reduce,Munich,Bayern,Germany,"RR2: ""Reduce"""
Hella Gutmann Solutions,Hella Gutmann Solutions provides automobile diagnostic tools and repair services to customers.,R4,Repair,Ihringen,Baden-Wurttemberg,Germany,"RR4: ""Repair"""
ASWO,ASWO is an electronics company that supplies a wide range of electronic products and spare parts while also providing repair services.,R4,Repair,Eime,Niedersachsen,Germany,"RR4: ""Repair"""
E.optimum,E.optimum is an independent energy purchasing group that helps companies reduce their energy costs by providing sustainable solutions.,R2,Reduce,Offenburg,Baden-Wurttemberg,Germany,"RR2: ""Reduce"""
Dräger MSI,Dräger MSI develops and repairs measurement technology and measuring devices.,R4,Repair,Hagen,Nordrhein-Westfalen,Germany,"RR4: ""Repair"""
Keepoala,The leading community for online shoppers to reduce their return volumes and carbon footprint and thereby receiving great rewards.,R2,Reduce,Munich,Bayern,Germany,"RR2: ""Reduce"""
CONTIS,"CONTIS is an SAP support company that provides SAP surveillance, monitoring, data recovery, troubleshooting, and consulting services.",R9,Recover,Nuremberg,Bayern,Germany,"Disagree. CONTIS, as an SAP support company, does not directly deal with waste products or materials, so the circular economy strategy ""Recover"" would not be applicable to their core business activities."
Sauter,"Sauter specializes in facility management services, building repairs, energy management, updates software and hardware for various sectors.",R4,Repair,Freiburg,Baden-Wurttemberg,Germany,"RR4: ""Repair"""
Medical Legal Reproductions,"MLR provides Record Procurement, Subpoena Production and Authorization Services, Up-to-date Order Status & Quality Refurbishment of Document",R5,Refurbish,Pausa,Sachsen,Germany,"RR5: ""Refurbish"""
facilioo,Facilioo supports property managers and craft businesses in the maintenance and repair of real estate.,R4,Repair,Berlin,Berlin,Germany,"RR4: ""Repair""."
KID-Systeme,"KID-Systeme specializes in training, repair, and technical services for the aviation industry.",R4,Repair,Buxtehude,Niedersachsen,Germany,"RR4: ""Repair"""
Ally,"Ally is an IT company that focuses on database and software development with installation, maintenance, and repair services.",R4,Repair,Berlin,Berlin,Germany,"RR4: ""Repair"""
IT-Formation,"IT-Formation is an IT consultancy that offers IT security, document management, data recovery, archiving, certification, and IT services.",R9,Recover,Freiburg,Baden-Wurttemberg,Germany,Disagree. The company 'IT-Formation' does not appear to align with the circular economy strategy 'Recover' as described.
Radical Zero,Radical Zero provides access to carbon credit markets to help individuals and companies reduce their emissions.,R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
Qlar,"Qlar is an engineering consulting firm that offers mechanical and electrical installation, repair, training, and consulting services.",R4,Repair,Darmstadt,Hessen,Germany,"RR4: ""Repair"""
Siem Offshore Contractors,"Siem Offshore Contractors is a submarine cable installation, repair and maintenance contractor.",R4,Repair,Leer,Nordrhein-Westfalen,Germany,"RR4: ""Repair"""
030 Datenrettung Berlin GmbH,"Professional data recovery from RAID, NAS, HDD, SSD and other digital mass storage devices made in Germany",R9,Recover,Berlin,Berlin,Germany,"RR9: ""Recover"""
Aura Health Technologies,Aura Health Technologies is a technology-based company that develops AI-based software to help healthcare providers reduce costs ant time.,R2,Reduce,Berlin,Berlin,Germany,"RR2: ""Reduce"""
eNVenta ERP,"eNVenta ERP improve customer service, increase your sales and reduce your costs at the same time.",R2,Reduce,Liederbach,Hessen,Germany,"RR2: ""Reduce"""
ARCUS Greencycling Technologies,ARCUS Greencycling Technologies is a recycling company that recycles plastic waste.,R8,Recycle,Ludwigsburg,Mecklenburg-Vorpommern,Germany,"RR8: ""Recycle"""
Welect,"Welect centers their users, rethinks advertising communication and creates new non-intrusive advertising space. ",R1,Rethink,Düsseldorf,Nordrhein-Westfalen,Germany,"RR1: ""Rethink"""
Msg Rethink Compliance,"Msg Rethink Compliance offers money laundering, anti-financial crime compliance, risk management, fraud detection, and consultancy services.",R1,Rethink,Frankfurt,Hessen,Germany,"Disagree. The company ""Msg Rethink Compliance"" primarily focuses on providing services related to money laundering, anti-financial crime compliance, risk management, fraud detection, and consultancy. While they may contribute indirectly to sustainability through compliance efforts, their core business does not align directly with the circular economy strategy of ""Rethink"" as defined."
IRS-Group,"IRS-Group is a service provider in the areas of body and paint work, Smart Repair, hail damage repair.",R4,Repair,Rellingen,Schleswig-Holstein,Germany,"RR4: ""Repair"""
WK,WK is an environmental company that designs and manufactures industrial air pollution control and energy recovery systems.,R9,Recover,Wetzlar,Hessen,Germany,"RR9: ""Recover"""
Babybe,Babybe is a medical device company helping premature babies to recover faster by keeping them connected to their mothers.,R9,Recover,Stuttgart,Baden-Wurttemberg,Germany,"Disagree. Babybe's core focus is on improving the health and well-being of premature babies by keeping them connected to their mothers, rather than extracting materials or energy from waste products."
Swarms,Swarm's mission is to reduce the costs of data labelling and empower companies to extract value from all data it has available. ,R2,Reduce,Bielefeld,Nordrhein-Westfalen,Germany,"RR2: ""Reduce"""
Viantro,"Make doctors happy! Our platform & personal service reduces the painpoints in jobsearch, jobstart & recruiting. But also beyond these areas.",R2,Reduce,Dossenheim,Baden-Wurttemberg,Germany,"RR2: ""Reduce"""
Saxonia Network Systems GmbH,"SNS is an IT firm that offers data recovery, CRM, database, hardware, software, IT infrastructure, and storage solutions.",R9,Recover,Markkleeberg,Sachsen,Germany,"Disagree. Saxonia Network Systems GmbH, as an IT firm specializing in data recovery and IT solutions, does not align with the circular economy strategy of ""Recover"" which focuses on extracting useful materials or energy from waste products."
AABBOO,"AABBOO is a data recovery provider from hard drives, SSDs, USB, memory cards, RAID systems, and NAS storage.",R9,Recover,Frankfurt,Hessen,Germany,"Disagree. A data recovery provider like 'AABBOO' does not align with the circular economy strategy of ""Recover"" which focuses on extracting useful materials or energy from waste products. Data recovery services involve retrieving and restoring lost or corrupted data from storage devices, rather than extracting materials or energy from waste products."
KZVK,"KZVK is the nationwide partner for the company pension, reduced earning capacity and survivors' pension of participating employer.",R2,Reduce,Cologne,Nordrhein-Westfalen,Germany,"Disagree. KZVK, as a company providing pension services, may not directly engage in production processes that involve resource usage and waste generation. The circular economy strategy ""Reduce"" is more applicable to manufacturing or production-oriented companies."
JAN 'N JUNE,JAN 'N JUNE is a sustainable eco-fashion label that produces clothes from recycled and natural materials.,R8,Recycle,Hamburg,Hamburg,Germany,"RR8: ""Recycle"""
USTR,"USTR is a renovation and refurbishment company that provides interior design, painting, varnishing, electrical, and plumbing services.",R5,Refurbish,Munich,Bayern,Germany,"RR5: ""Refurbish"""
Jettainer,Jettainer engages in the repair and maintenance of a fleet.,R4,Repair,Raunheim,Hessen,Germany,"RR4: ""Repair"""
HBC,"HBC develops and manufactures all radio system components, as well as providing spare parts and repairs, service contacts, and training.",R4,Repair,Crailsheim,Baden-Wurttemberg,Germany,"RR4: ""Repair"""
Brea Health,Brea Health is a mobile app that aims to rethink and change modern breast cancer care.,R1,Rethink,Berlin,Berlin,Germany,"RR1: ""Rethink"""
InfoTip,"InfoTip provides a recall management system, information and service suite along with repair tracking services to help optimize businesses.",R4,Repair,Bochum,Nordrhein-Westfalen,Germany,"RR4: ""Repair"""
KlimateNet,KlimateNet is a platform uniting professionals in a global network to incentivize carbon removal and reduce CO2 emissions.,R2,Reduce,England,Nordrhein-Westfalen,Germany,"RR2: ""Reduce"""
Hoffmann Motion,"Hoffmann Motion is an elevator and escalator service company that provides installations, maintenance, and repair services.",R4,Repair,Hilpoltstein,Bayern,Germany,"RR4: ""Repair"""
ASUP,ASUP is provider of  technical trade as well as the waste management and refurbishment sector.,R5,Refurbish,Seevetal,Niedersachsen,Germany,"RR5: ""Refurbish"""
GRUMA Commercial Vehicles,"GRUMA Commercial Vehicles sells new, used, rental equipment, repair work, maintenance, spare parts, and accessories.",R4,Repair,Garching Bei München,Bayern,Germany,"RR4: ""Repair"""
Contact Air Technik,"Contact Air Technik is an aerospace repair company that offers maintenance, spare parts, and engineering services.",R4,Repair,Saarbrücken,Saarland,Germany,"RR4: ""Repair"""
Repairon,Repairon is a technology firm that specializes in engineering technology and organ repairing solutions.,R4,Repair,Göttingen,Niedersachsen,Germany,"RR4: ""Repair"""
Horn & Co. Group,"Horn & Co Group offers sales, control, analysis, and processing in the units of industrial, minerals recovery, products, and analytics.",R9,Recover,Siegen,Nordrhein-Westfalen,Germany,"Disagree. The company 'Horn & Co. Group' does not seem to align with the circular economy strategy of 'Recover' as they primarily focus on sales, control, analysis, and processing in industrial units, minerals recovery, products, and analytics."
Anaergia Technologies,"Anaergia Technologies is a manufacturing company that manufactures products used in recovering energy, water, and fertilizer.",R9,Recover,Lippstadt,Nordrhein-Westfalen,Germany,"RR9: ""Recover"""
Exakt Health,exakt health provides a free and medically certified app that helps you recover from sports injury.,R9,Recover,Berlin,Berlin,Germany,"Disagree. The circular economy strategy ""Recover"" is not directly applicable to the company 'Exakt Health' as they focus on providing a health app for sports injury recovery, rather than extracting materials or energy from waste products."
Krapp Group,"Krapp Gruppe provides planning, installation, maintenance, and repair services for heating, plumbing industries.",R4,Repair,Oldenburg,Niedersachsen,Germany,"RR4: ""Repair"""
Setup,"Setup delivers customized IT security, VoIP systems, mobile devices management as well as repair services.",R4,Repair,Remscheid,Nordrhein-Westfalen,Germany,"RR4: ""Repair"""
Remmers,"Remmers manufactures building chemicals, wood paints & varnishes as well as offers masonry renovation, facade protection & repair services.",R4,Repair,Löningen,Niedersachsen,Germany,"RR4: ""Repair"""
APS delta,"APS Delta is a software development firm that offers services for ERP software, application software, repair and customer service.",R4,Repair,Villingen-schwenningen,Baden-Wurttemberg,Germany,"RR4: ""Repair"""
CARRY Bottles,"CARRY Bottles manufactures eco-friendly, customizable glass drinking bottles from recycled materials, promoting sustainability.",R8,Recycle,Berlin,Berlin,Germany,"RR8: ""Recycle"""
NovaCapta,"NovaCapta is a consultancy that specializes in backup, recovery, cloud infrastructure, knowledge management, and project management.",R9,Recover,Köln,Nordrhein-Westfalen,Germany,"Disagree. NovaCapta's consultancy services do not directly align with the circular economy strategy of ""Recover"", which focuses on extracting useful materials or energy from waste products. NovaCapta's core services are more focused on IT consultancy rather than waste recovery processes."
Aquila Aviation International,Aquila Aviation International is an aerospace company that offers maintenance and repair services.,R4,Repair,Trebbin,Brandenburg,Germany,"RR4: ""Repair"""
1a autoservice,"1a autoservice is an automotive company that offers break, exhaust, oil change, tire, rim, repair, maintenance, and inspection services.",R4,Repair,Freiburg,Baden-Wurttemberg,Germany,"RR4: ""Repair"""
Terberg Special Vehicles,"Terberg Special Vehicles is an automotive company that specializes in sales, rental, maintenance, and repair services of vehicles.",R4,Repair,Hamburg,Hamburg,Germany,"RR4: ""Repair"""
Eggers,"Eggers renders civil engineering, environmental engineering, road, sewer, pipeline construction, building and ordnance recovery services.",R9,Recover,Tangstedt,Schleswig-Holstein,Germany,"RR9: ""Recover"""
NextCup,"The NextCup is a sustainable beer pong cup. It is designed & created in Germany, is 100% recyclable and can be reused several hundred times.",R3,Reuse,Hamburg,Hamburg,Germany,"RR3: ""Reuse"""
bb-net media,bb-net media is the refurbished information technology firm that provides a new generation of reprocessed IT.,R5,Refurbish,Schweinfurt,Bayern,Germany,"RR5: ""Refurbish"""
