Company_Name,Short_Description,RE_Strategy_Codes,RE_Strategy_Names,City,Region,Country
IMO,"IMO manufactures customized slew drives, slewing rings and slewing bearings which are ready-to-install and assemble with repairing services.",R4,Repair,Gremsdorf,Bayern,Germany
memodio,Memodio is a prevent dementia through app that helps maintain brain health and reduce their individual risk of dementia.,R2,Reduce,Potsdam,Brandenburg,Germany
pado,pado is a mobility software app that provides information about parking spaces to reduce vehicle emissions in the automotive industry.,R2,Reduce,Worms,Rheinland-Pfalz,Germany
receeve GmbH,"A fully customisable all-in-one platform for collections & recovery. Fast to deploy, simple to manage & easy to customise & expand.",R9,Recover,Hamburg,Hamburg,Germany
IonKraft,"IonKraft can provide better performance at a lower cost while maintaining recyclability, they also promote material reduction and reuse.",R3,Reuse,Aachen,Nordrhein-Westfalen,Germany
Rebel Tech,Rebel Tech creates high-tech electronics repair solutions and provides repairs at prices that no one else can match.,R4,Repair,Berlin,Berlin,Germany
Fasciotens,"Fasciotens helps with the open abdomen - increase the odds, reduce the risks.",R2,Reduce,Cologne,Nordrhein-Westfalen,Germany
JPM,JPM specializes in the construction and repair of tank and container with fixed and floating roof tanks.,R4,Repair,Henstedt-ulzburg,Schleswig-Holstein,Germany
Aurubis,Aurubis is the leading integrated copper group and the world’s largest copper recycler,R8,Recycle,Hamburg,Hamburg,Germany
Komsa,"Komsa is a service providing and distributing firm that offers repair solutions, wholesale for IT, and communication products.",R4,Repair,Hartmannsdorf,Thuringen,Germany
Cougle’s Recycling,Cougle’s Recycling is an environmentally conscious post-consumer and post-industrial recycler.,R8,Recycle,Hamburg,Hamburg,Germany
Contorion,"Contorion.de is a B2B online marketplace for maintenance, repair and operations (MRO) products",R4,Repair,Berlin,Berlin,Germany
ZaaK Technologies,ZaaK Technologies recycles industrial wastes into high value products.,R8,Recycle,Zwickau,Sachsen,Germany
Climate Partner,"Calculate, reduce and offset your company & product carbon emissions",R2,Reduce,Berlin,Berlin,Germany
Dolfi1920,Dolfi1920 deals with the baggage damaged during flights and does warranty/private repairs.,R4,Repair,Kelsterbach,Hessen,Germany
Lufthansa Technik,"Lufthansa Technik is a maintenance, repair and overhaul (MRO) services for aircraft, engines and components.",R4,Repair,Hamburg,Hamburg,Germany
thingk.systems,rethinking things connected,R1,Rethink,Berlin,Berlin,Germany
DK Kälteanlagen,"DK Kälteanlagen designs and manufactures heat recovery equipment used by supermarkets, canteens, and bakeries.",R9,Recover,Emsdetten,Nordrhein-Westfalen,Germany
Rethink Ventures,Rethink Ventures is a specialist venture capital firm exclusively focused on investing in a sustainable future of transportation.,R1,Rethink,Munich,Bayern,Germany
FixFirst,"B2B SaaS, Circular Economy, Sustainability, AI, Repair, Maintenance, Refurbishment,","R4, R5","Repair, Refurbish",Berlin,Berlin,Germany
daisygrip,"daisygrip significantly reduces time and personnel costs, costs and risks of infection: Decide on the new, safe and clean connection.",R2,Reduce,Rostock,Mecklenburg-Vorpommern,Germany
Priva,"Priva develops hardware, software and services in the field of climate control, energy saving and optimal reuse of water.",R3,Reuse,Tönisvorst,Nordrhein-Westfalen,Germany
PAUL Tech,"PAUL Tech operates in real estate, using AI and digital tech to reduce energy use, CO2 emissions, and costs.",R2,Reduce,Mannheim,Baden-Wurttemberg,Germany
Strätz NoveTec,"Strätz NoveTec is a medical technology service company that repairs, tests, and maintains medical devices.",R4,Repair,Estenfeld,Bayern,Germany
Auto-Teile-Unger,Auto-Teile-Unger is a German company which owns and operates a chain of car and truck repair franchises.,R4,Repair,Weiden,Bayern,Germany
We Do Solar,We Do Solar is a smart balcony solar system that saves up to 25% on electricity bills and reduces CO2.,R2,Reduce,Berlin,Berlin,Germany
Turbit,Turbit reduces risks of wind turbine operation with AI monitoring at scale.,R2,Reduce,Berlin,Berlin,Germany
MORMOR,MORMOR stands for well-designed furniture that helps people with reduced mobility.,R2,Reduce,Leipzig,Sachsen,Germany
Revive,"Revive provides a more sustainable way of buying, refurbishing, and selling things by recycling and repairing products.","R4, R5","Repair, Refurbish",Köln,Nordrhein-Westfalen,Germany
Tekfor,Tekfor is an automotive company offering precision machine parts and weight-reduced components.,R2,Reduce,Hausach,Baden-Wurttemberg,Germany
HIS ENERGY,"HIS Energy offers battery energy storage systems and solutions to maximize profits, reduce grid dependency, and create new revenue streams.",R2,Reduce,Oberzeitldorn,Bayern,Germany
Compressed air Stölzel,Compressed air Stölzel is an air compressor service company that provides repair and sales service.,R4,Repair,Nuremberg,Bayern,Germany
Elara,On a mission to reduce unplanned machine downtime to zero.,R2,Reduce,Berlin,Berlin,Germany
Lumoview Building Analytics,Lumoview digitizes buildings in 2 seconds per room and empowers owners to improve their buildings and reduce CO2 emissions.,R2,Reduce,Cologne,Nordrhein-Westfalen,Germany
Paxray,"Paxray is a task mining platform that helps reduce process documentation effort, and automatically discover workflows for RPA automation.",R2,Reduce,Mutlangen,Baden-Wurttemberg,Germany
Resycure,Smart B2B marketplace transforming recycled plastics trading with an aggregator model & intelligent product qualification,R8,Recycle,Munich,Bayern,Germany
Aequita,"Aequita is a Munich-based family office investing in special situations including corporate carve-outs, successions, and recovery situations",R9,Recover,Munich,Bayern,Germany
Goldhofer AG,"Goldhofer is a German manufacturer of conventional and towbarless aircraft tow tractors, aircraft recovery equipment and cargo tractors.",R9,Recover,Memmingen,Bayern,Germany
RYSTA,RYSTA facilitates sustainable protection of Real Estate assets through a IoT monitoring solution to reduce costs and increase efficiency.,R2,Reduce,Berlin,Berlin,Germany
circulee,"Circulee is a green IT hardware solutions company that reduces costs, CO₂ emissions, and electronic waste.",R2,Reduce,Berlin,Berlin,Germany
WPD,WPD specializes in the field of wind energy that focuses on the development and operation of wind farms with maintenance and repair.,R4,Repair,Bremen,Bremen,Germany
MetrikFlow,MetrikFlow is a platform for climate management to reduce environmental impact and comply with sustainability regulations.,R2,Reduce,Berlin,Berlin,Germany
StriveCast,Strive Technologies provides Peer-To-Peer video streaming software to reduce video streaming cost and increase quality of experience.,R2,Reduce,Düsseldorf,Nordrhein-Westfalen,Germany
MAAG Group,"MAAG Group offers products and services such as gear pumps, pulverizers, recycling systems, dryers, inspection, and repair services.",R4,Repair,Großostheim,Bayern,Germany
toern,"SaaS, peer-to-peer return software to reduce transportation routes, packaging waste and costs.",R2,Reduce,Hamburg,Hamburg,Germany
Tildi,"Tildi is a re-commerce marketplace where third-party ReSellers sell quality, sustainable secondhand and refurbished children's products.",R5,Refurbish,Munich,Bayern,Germany
kaputt.de,Kaputt.de is an online marketplace with repair options for electrical appliances.,R4,Repair,Berlin,Berlin,Germany
Carbonze,"CarbonZE is a climate tech company, empowering businesses to analyse, reduce Carbon, and design GHG and ESG strategy.",R2,Reduce,Berlin,Berlin,Germany
Kaffeeform,"Kaffeeform is an e-shop that sells a wide selection of coffee cups, weducer cups, recycled coffee grounds and accessories.",R8,Recycle,Berlin,Berlin,Germany
Recovery Cat,Recovery Cat develops software as a medical device that facilitates effective psychiatric care for individuals with severe mental illness.,R9,Recover,Berlin,Berlin,Germany
Baros Solutions,"Baros Solutions is a business consulting firm that helps to analyze costs, identify unauthorized deductions, and recover lost revenue.",R9,Recover,Taufkirchen,Bayern,Germany
EOS Deutscher Inkasso-Dienst,EOS Deutscher Inkasso-Dienst is a collection agency that offers easy debt recovery services through an online platform.,R9,Recover,Hamburg,Hamburg,Germany
The Oater,"A compact machine for local production of fresh oat milk that improves taste, lowers costs and reduces packaging and CO2 emissions.",R2,Reduce,Aachen,Nordrhein-Westfalen,Germany
GreenPow,"1st Carbon-Aware cloud platform offering secure, private, and managed Cloud services, heling businesses reduce emissions by up to 85% in co2",R2,Reduce,Berlin,Berlin,Germany
Prym,"Prym supplies fasteners, woven ribbons, storage, repair items, clothing accessories, pins and needles for needlework, apparel & home decor.",R4,Repair,Sosberg,Rheinland-Pfalz,Germany
Recogizer,Recogizer is a GreenTech company that reduces the energy consumption of commercial facilities by using AI solution energy control.,R2,Reduce,Bonn,Nordrhein-Westfalen,Germany
MLB Manufacturing Services,"MLB provides industrial services such as maintenance, inspection, repair, and process improvement.",R4,Repair,Bobingen,Bayern,Germany
Ideematec,Ideematec is a manufacturer of PV mounting and tracking systems that offer superior safety and higher yield at maximum reduced shading.,R2,Reduce,Wallerfing,Bayern,Germany
Bilstein group,Bilstein group offer repair solutions for all common vehicle types in the car and commercial vehicle sector.,R4,Repair,Ennepetal,Nordrhein-Westfalen,Germany
Meidrix Biomedicals,Meidrix Biomedicals is a medical biotechnology company that specializes in medical devices for cartilage repair.,R4,Repair,Eßlingen,Bayern,Germany
Reparando,Reparando is currently leading supraregional service providers for high-quality B2B smartphone repairs.,R4,Repair,Stuttgart,Baden-Wurttemberg,Germany
IAWY,>AI tutor that educational institutions can integrate into their learning environments to increase retention and reduce guidance costs.,R2,Reduce,Berlin,Berlin,Germany
Mey Capital Matrix,The MEY Capital Matrix GmbH is a company which helps to reduce healthcare cost and provides personalized medicines.,R2,Reduce,München,Bayern,Germany
TopMotive,"TopMotive specializes in the development of software solutions for wholesalers, repair shops, manufacturers, and industrial automation.",R4,Repair,Bargteheide,Schleswig-Holstein,Germany
RegHub,RegHub is data-driven platform to reduce cost & complexity in regulatory change management and compliance through automation & collaboration,R2,Reduce,Frankfurt,Hessen,Germany
Safira.ai,"Elevating digital storytelling to provide a superior shopping experience, reduce returns, and secure brand identity!",R2,Reduce,Munich,Bayern,Germany
Hella Gutmann Solutions,Hella Gutmann Solutions provides automobile diagnostic tools and repair services to customers.,R4,Repair,Ihringen,Baden-Wurttemberg,Germany
ASWO,ASWO is an electronics company that supplies a wide range of electronic products and spare parts while also providing repair services.,R4,Repair,Eime,Niedersachsen,Germany
E.optimum,E.optimum is an independent energy purchasing group that helps companies reduce their energy costs by providing sustainable solutions.,R2,Reduce,Offenburg,Baden-Wurttemberg,Germany
Dräger MSI,Dräger MSI develops and repairs measurement technology and measuring devices.,R4,Repair,Hagen,Nordrhein-Westfalen,Germany
Keepoala,The leading community for online shoppers to reduce their return volumes and carbon footprint and thereby receiving great rewards.,R2,Reduce,Munich,Bayern,Germany
CONTIS,"CONTIS is an SAP support company that provides SAP surveillance, monitoring, data recovery, troubleshooting, and consulting services.",R9,Recover,Nuremberg,Bayern,Germany
Sauter,"Sauter specializes in facility management services, building repairs, energy management, updates software and hardware for various sectors.",R4,Repair,Freiburg,Baden-Wurttemberg,Germany
Medical Legal Reproductions,"MLR provides Record Procurement, Subpoena Production and Authorization Services, Up-to-date Order Status & Quality Refurbishment of Document",R5,Refurbish,Pausa,Sachsen,Germany
facilioo,Facilioo supports property managers and craft businesses in the maintenance and repair of real estate.,R4,Repair,Berlin,Berlin,Germany
KID-Systeme,"KID-Systeme specializes in training, repair, and technical services for the aviation industry.",R4,Repair,Buxtehude,Niedersachsen,Germany
Ally,"Ally is an IT company that focuses on database and software development with installation, maintenance, and repair services.",R4,Repair,Berlin,Berlin,Germany
IT-Formation,"IT-Formation is an IT consultancy that offers IT security, document management, data recovery, archiving, certification, and IT services.",R9,Recover,Freiburg,Baden-Wurttemberg,Germany
Radical Zero,Radical Zero provides access to carbon credit markets to help individuals and companies reduce their emissions.,R2,Reduce,Berlin,Berlin,Germany
Qlar,"Qlar is an engineering consulting firm that offers mechanical and electrical installation, repair, training, and consulting services.",R4,Repair,Darmstadt,Hessen,Germany
Siem Offshore Contractors,"Siem Offshore Contractors is a submarine cable installation, repair and maintenance contractor.",R4,Repair,Leer,Nordrhein-Westfalen,Germany
030 Datenrettung Berlin GmbH,"Professional data recovery from RAID, NAS, HDD, SSD and other digital mass storage devices made in Germany",R9,Recover,Berlin,Berlin,Germany
Aura Health Technologies,Aura Health Technologies is a technology-based company that develops AI-based software to help healthcare providers reduce costs ant time.,R2,Reduce,Berlin,Berlin,Germany
eNVenta ERP,"eNVenta ERP improve customer service, increase your sales and reduce your costs at the same time.",R2,Reduce,Liederbach,Hessen,Germany
ARCUS Greencycling Technologies,ARCUS Greencycling Technologies is a recycling company that recycles plastic waste.,R8,Recycle,Ludwigsburg,Mecklenburg-Vorpommern,Germany
Welect,"Welect centers their users, rethinks advertising communication and creates new non-intrusive advertising space. ",R1,Rethink,Düsseldorf,Nordrhein-Westfalen,Germany
Msg Rethink Compliance,"Msg Rethink Compliance offers money laundering, anti-financial crime compliance, risk management, fraud detection, and consultancy services.",R1,Rethink,Frankfurt,Hessen,Germany
IRS-Group,"IRS-Group is a service provider in the areas of body and paint work, Smart Repair, hail damage repair.",R4,Repair,Rellingen,Schleswig-Holstein,Germany
WK,WK is an environmental company that designs and manufactures industrial air pollution control and energy recovery systems.,R9,Recover,Wetzlar,Hessen,Germany
Babybe,Babybe is a medical device company helping premature babies to recover faster by keeping them connected to their mothers.,R9,Recover,Stuttgart,Baden-Wurttemberg,Germany
Swarms,Swarm's mission is to reduce the costs of data labelling and empower companies to extract value from all data it has available. ,R2,Reduce,Bielefeld,Nordrhein-Westfalen,Germany
Viantro,"Make doctors happy! Our platform & personal service reduces the painpoints in jobsearch, jobstart & recruiting. But also beyond these areas.",R2,Reduce,Dossenheim,Baden-Wurttemberg,Germany
Saxonia Network Systems GmbH,"SNS is an IT firm that offers data recovery, CRM, database, hardware, software, IT infrastructure, and storage solutions.",R9,Recover,Markkleeberg,Sachsen,Germany
AABBOO,"AABBOO is a data recovery provider from hard drives, SSDs, USB, memory cards, RAID systems, and NAS storage.",R9,Recover,Frankfurt,Hessen,Germany
KZVK,"KZVK is the nationwide partner for the company pension, reduced earning capacity and survivors' pension of participating employer.",R2,Reduce,Cologne,Nordrhein-Westfalen,Germany
JAN 'N JUNE,JAN 'N JUNE is a sustainable eco-fashion label that produces clothes from recycled and natural materials.,R8,Recycle,Hamburg,Hamburg,Germany
USTR,"USTR is a renovation and refurbishment company that provides interior design, painting, varnishing, electrical, and plumbing services.",R5,Refurbish,Munich,Bayern,Germany
Jettainer,Jettainer engages in the repair and maintenance of a fleet.,R4,Repair,Raunheim,Hessen,Germany
HBC,"HBC develops and manufactures all radio system components, as well as providing spare parts and repairs, service contacts, and training.",R4,Repair,Crailsheim,Baden-Wurttemberg,Germany
Brea Health,Brea Health is a mobile app that aims to rethink and change modern breast cancer care.,R1,Rethink,Berlin,Berlin,Germany
InfoTip,"InfoTip provides a recall management system, information and service suite along with repair tracking services to help optimize businesses.",R4,Repair,Bochum,Nordrhein-Westfalen,Germany
KlimateNet,KlimateNet is a platform uniting professionals in a global network to incentivize carbon removal and reduce CO2 emissions.,R2,Reduce,England,Nordrhein-Westfalen,Germany
Hoffmann Motion,"Hoffmann Motion is an elevator and escalator service company that provides installations, maintenance, and repair services.",R4,Repair,Hilpoltstein,Bayern,Germany
ASUP,ASUP is provider of  technical trade as well as the waste management and refurbishment sector.,R5,Refurbish,Seevetal,Niedersachsen,Germany
GRUMA Commercial Vehicles,"GRUMA Commercial Vehicles sells new, used, rental equipment, repair work, maintenance, spare parts, and accessories.",R4,Repair,Garching Bei München,Bayern,Germany
Contact Air Technik,"Contact Air Technik is an aerospace repair company that offers maintenance, spare parts, and engineering services.",R4,Repair,Saarbrücken,Saarland,Germany
Repairon,Repairon is a technology firm that specializes in engineering technology and organ repairing solutions.,R4,Repair,Göttingen,Niedersachsen,Germany
Horn & Co. Group,"Horn & Co Group offers sales, control, analysis, and processing in the units of industrial, minerals recovery, products, and analytics.",R9,Recover,Siegen,Nordrhein-Westfalen,Germany
Anaergia Technologies,"Anaergia Technologies is a manufacturing company that manufactures products used in recovering energy, water, and fertilizer.",R9,Recover,Lippstadt,Nordrhein-Westfalen,Germany
Exakt Health,exakt health provides a free and medically certified app that helps you recover from sports injury.,R9,Recover,Berlin,Berlin,Germany
Krapp Group,"Krapp Gruppe provides planning, installation, maintenance, and repair services for heating, plumbing industries.",R4,Repair,Oldenburg,Niedersachsen,Germany
Setup,"Setup delivers customized IT security, VoIP systems, mobile devices management as well as repair services.",R4,Repair,Remscheid,Nordrhein-Westfalen,Germany
Remmers,"Remmers manufactures building chemicals, wood paints & varnishes as well as offers masonry renovation, facade protection & repair services.",R4,Repair,Löningen,Niedersachsen,Germany
APS delta,"APS Delta is a software development firm that offers services for ERP software, application software, repair and customer service.",R4,Repair,Villingen-schwenningen,Baden-Wurttemberg,Germany
CARRY Bottles,"CARRY Bottles manufactures eco-friendly, customizable glass drinking bottles from recycled materials, promoting sustainability.",R8,Recycle,Berlin,Berlin,Germany
NovaCapta,"NovaCapta is a consultancy that specializes in backup, recovery, cloud infrastructure, knowledge management, and project management.",R9,Recover,Köln,Nordrhein-Westfalen,Germany
Aquila Aviation International,Aquila Aviation International is an aerospace company that offers maintenance and repair services.,R4,Repair,Trebbin,Brandenburg,Germany
1a autoservice,"1a autoservice is an automotive company that offers break, exhaust, oil change, tire, rim, repair, maintenance, and inspection services.",R4,Repair,Freiburg,Baden-Wurttemberg,Germany
Terberg Special Vehicles,"Terberg Special Vehicles is an automotive company that specializes in sales, rental, maintenance, and repair services of vehicles.",R4,Repair,Hamburg,Hamburg,Germany
Eggers,"Eggers renders civil engineering, environmental engineering, road, sewer, pipeline construction, building and ordnance recovery services.",R9,Recover,Tangstedt,Schleswig-Holstein,Germany
NextCup,"The NextCup is a sustainable beer pong cup. It is designed & created in Germany, is 100% recyclable and can be reused several hundred times.",R3,Reuse,Hamburg,Hamburg,Germany
bb-net media,bb-net media is the refurbished information technology firm that provides a new generation of reprocessed IT.,R5,Refurbish,Schweinfurt,Bayern,Germany
Steinmuller Babcock Environment,Steinmuller Babcock Environment renders thermal waste treatment solutions that recycled waste and offer flue gas cleaning services.,R8,Recycle,Gummersbach,Nordrhein-Westfalen,Germany
Geiger group of companies,"Geiger delivers, builds, refurbishes, and disposes of customers in the real estate, infrastructure, and environment sectors.",R5,Refurbish,Oberstdorf,Bayern,Germany
Rema Tip Top,"Rema Tip Top provides conveying, processing technology and tire repair services and products for the industry and the automotive sector.",R4,Repair,Poing,Bayern,Germany
ABL-TECHNIC,ABL-TECHNIC offer paint stripping management right along the line to waste disposal and the recovery of valuable materials.,R9,Recover,Leutkirch,Baden-Wurttemberg,Germany
DAT Autohus,"DAT Autohus is a used car dealership company that offers car repair, maintenance, and auto finance services.",R4,Repair,Böckel,Nordrhein-Westfalen,Germany
Desch Antriebstechnik,"Desch Antriebstechnik provides repair, maintenance services and manufactures industrial gears, drive components and spare parts.",R4,Repair,Arnsberg,Nordrhein-Westfalen,Germany
Snap-on,"Snap-on is a manufacturer and marketer of tools, equipment, diagnostics, repair information, and system solutions.",R4,Repair,England,Nordrhein-Westfalen,Germany
DMS Enterprise,"DMS Enterprise sells, maintains, and repairs aircraft engine parts, hardware, wheels, and brakes.",R4,Repair,Hamburg,Hamburg,Germany
ADAC Heliservice,ADAC Heliservice is an aviation company that maintains and repairs helicopters and components.,R4,Repair,Sankt Augustin,Nordrhein-Westfalen,Germany
4FOUR-TECH,"4FOUR-TECH manufactures and repairs electrical machinery and equipment, including motors and generators, and offers metalworking services.",R4,Repair,Kassel,Hessen,Germany
BitTruster,"BitTruster is a software company that provides recovery, encryption management, TPM & PIN management, and reporting services.",R9,Recover,Frankfurt,Hessen,Germany
CODA,"CODA specializes in cloud computing, backup recovery, and IT managed services.",R9,Recover,Erfurt,Thuringen,Germany
Uhlig Rohrbogen GmbH,"Uhlig Rohrbogen GmbH manufactured and supplied piping components such as pipe bends, T-pieces, pipe reducers and pipe supports.",R2,Reduce,Langelsheim,Niedersachsen,Germany
Colonial House,Colonial House provides supportive and therapeutic transitional environment for male’s seeking recovery from addiction.,R9,Recover,Pausa,Sachsen,Germany
Vanilla Sand,Beach clothing from natural or recycled fabrics,R8,Recycle,Karlsruhe,Baden-Wurttemberg,Germany
QuantifiedCode,QuantifiedCode is the first platform for Automated Code Repair,R4,Repair,Munich,Bayern,Germany
Lifetime Technologies,"Lifetime Technologies provides engine oils, additives and a flushing system that removes internal deposits to reduce climate change.",R2,Reduce,Ismaning,Bayern,Germany
Cyrus Digital,Cyrus Digital offers digital marketing and art services to boost revenue and reduce Meta dependency.,R2,Reduce,Munich,Bayern,Germany
almaak international,almaak international is a high-quality recycled engineered polymer compound based in Germany.,R8,Recycle,Krefeld,Nordrhein-Westfalen,Germany
10eG visual,"10eG visual is an advertising agency that provides brand consulting & refurbishment, corporate designs, GUI & UX, and intranet services.",R5,Refurbish,Düsseldorf,Nordrhein-Westfalen,Germany
GlobeCore GmbH,"GlobeCore GmbH provides equipment for transformers maintenance & repair, transformer oil purification, regeneration, sorbents reactivation.",R4,Repair,Oldenburg,Niedersachsen,Germany
BDK Group,car glass repair branch system,R4,Repair,Chemnitz,Sachsen,Germany
BYTEC Medizintechnik,"BYTEC Medizintechnik manufactures medical devices and provides equipment training, repair, maintenance, and documentation services.",R4,Repair,Eschweiler,Nordrhein-Westfalen,Germany
Hugo Pfohe,Hugo Pfohe is a car dealer that offer multiple motor brand options in addition to support for handling repairs and insurance claims.,R4,Repair,Hamburg,Hamburg,Germany
Koch Mobile,"Koch Autogruppe is a car dealership that sells new and used cars, financing, leasing, and repair car services.",R4,Repair,Schwäbisch Hall,Baden-Wurttemberg,Germany
cargonerds,"Cargonerds reduce the complexity, time, and cost associated with implementing Log-tech solutions.",R2,Reduce,Hamburg,Hamburg,Germany
Vechain.energy,Vechain.energy is a software company that develops applications to reduce time-to-production for blockchain solutions.,R2,Reduce,Taunusstein,Hessen,Germany
BWTS,"BWTS is a renewable energy company that installs, maintains, and repairs renewable energy systems.",R4,Repair,Stäbelow,Mecklenburg-Vorpommern,Germany
Windigo,"Windigo specializes in inspection, maintenance, and repair services for wind turbines.",R4,Repair,Berlin,Berlin,Germany
Enermeter,Enermeter is a software for energy management to reduce energy consumption and increase efficiency.,R2,Reduce,Cologne,Nordrhein-Westfalen,Germany
Cristie,"Cristie specializes in data management, cyber security, system recovery, cloud computing, email archiving, and migration services.",R9,Recover,Salzkotten,Nordrhein-Westfalen,Germany
Bücker & Essing,"Bücker & Essing provides maintenance and repair services to natural gas, biogas and special gas engines.",R4,Repair,Lingen,Niedersachsen,Germany
Koch Gruppe,"Koch Gruppe is a marketplace for a wide selection of new and pre-owned branded cars, along with accessories and repair services.",R4,Repair,Berlin,Berlin,Germany
RTS Wind,"RTS Wind is a renewable energy company that offers rotor blade repairs, assessments, and maintenance work on wind turbines services.",R4,Repair,Bremen,Bremen,Germany
STI Group,"STI Group is a surface technology company that offers surface treatments, research, development, and repair services.",R4,Repair,Steinach,Bayern,Germany
Skywalk,"Skywalk manufactures products for kitesurfing, snowkiting, landkiting, boards, spare parts, and offers repair service.",R4,Repair,Marquartstein,Bayern,Germany
Green IT Solution,Green IT Solution is a consultancy that is expertise in advising on IT remarketing and refurbished hardware.,R5,Refurbish,Inning Am Ammersee,Bayern,Germany
Graf Hardenberg,Graf Hardenberg is an automobile trading firm that specializes in car dealership and auto repair services.,R4,Repair,Ettlingen,Baden-Wurttemberg,Germany
Trusteddocks.com,"Trusteddocks.com assists shipowners and managers in locating the right shipyard for newbuilds, class renewal, and ship refurbishment.",R5,Refurbish,Hamburg,Hamburg,Germany
TFM Service,TFM Service is a telecom company that provides repair and service to mobile devices.,R4,Repair,Munich,Bayern,Germany
Städtler Logistik,"Städtler Logistik optimizes transport logistics, reduces costs, and improves processes and competitive advantages.",R2,Reduce,Nuremberg,Bayern,Germany
Van Wezel,"Van Wezel sells body parts, repair panels, lighting, window regulators, mirrors, and air conditioning systems for the automotive industry.",R4,Repair,Kamen,Nordrhein-Westfalen,Germany
Gewusst-wie-IT,"Gewusst-wie-IT offers data recovery, network technology, software, website development, hardware sales, and telephony solutions.",R9,Recover,Ludwigsburg,Mecklenburg-Vorpommern,Germany
Wietmarscher Ambulanz und Sonderfahrzeug,Wietmarscher Ambulanz und Sonderfahrzeug manufactures vehicles and ambulances along with offers repair and driving safety training services.,R4,Repair,Wietmarschen,Niedersachsen,Germany
